campsite playground,0.414617561
plaza crosswalk,0.3440353196
kennel lawn,0.2275586486
heliport deck,0.1717292646
office office,1
shopping gym,0.3954474786
playroom pantry,0.4677373801
coast wave,0.3905723327
medina street,0.2786106883
raceway promenade,0.2094794193
museum courthouse,0.4132109822
alcove utility,0.1513842657
baseball soccer,0.6783079926
parking street,0.535452529
ski snowfield,0.2149144872
stadium baseball,0.5253248536
bakery pizzeria,0.6354350413
corral racecourse,0.2370395248
garden pizzeria,0.214411957
beauty ballroom,0.2411569152
lake dam,0.4870503716
gymnasium gym,0.6676547025
bullring baseball,0.0773594487
coffee ice,0.4552197442
coffee bar,0.5179047363
boxing stage,0.2187506298
plaza diner,0.3631032722
plaza street,0.5426259251
art art,1
bullring baseball,0.0773594487
stadium recreation,0.3074076104
ice delicatessen,0.1021441059
house inn,0.4231481673
runway airfield,0.5093713677
physics museum,0.2177348627
chemistry hospital,0.182882769
nursing dorm,0.2776453938
wheat rice,0.6964906695
roof garden,0.485593741
diner downtown,0.4136139373
physics music,0.2264576523
racecourse volleyball,0.1139489253
theater bow,0.1600979311
laundromat art,0.0712770988
viaduct bridge,0.5701761659
plaza crosswalk,0.3440353196
diner motel,0.5163875223
raceway crosswalk,0.1613078778
pharmacy motel,0.2569528594
creek campsite,0.4058006761
berth church,0.0197675283
airfield deck,0.1869697237
supermarket delicatessen,0.5586488514
church synagogue,0.6068895584
ski ski,1
viaduct railroad,0.494828087
stadium baseball,0.5253248536
golf athletic,0.4226085537
lawn yard,0.6442289095
runway airport,0.4474811192
plaza crosswalk,0.3440353196
building loading,0.3164345228
pizzeria delicatessen,0.6163818119
street loading,0.1446955809
ice jewelry,0.1864297204
loading kennel,0.0935168181
bar pub,0.5795454377
alley slum,0.3450435358
crosswalk street,0.401825643
ski ice,0.3953035343
forest mountain,0.6134215468
coffee restaurant,0.4781928358
garage parking,0.61017553
airfield hayfield,0.3135881114
parking junkyard,0.1838322442
coffee diner,0.4578363782
ice ice,1
recreation television,0.2545695551
berth closet,0.1980436464
shower bathroom,0.8134645628
train bus,0.6478865414
bar bathroom,0.3889999669
berth veterinarians,-0.0925845688
loading gas,0.3241686256
candy market,0.2363703047
industrial railroad,0.4233258018
parking highway,0.5042240061
food pizzeria,0.3198605831
dorm theater,0.3011758285
fire bus,0.262797538
stadium baseball,0.5253248536
coast wave,0.3905723327
crosswalk downtown,0.3013068367
sauna berth,0.1250712656
gas bus,0.2556301244
racecourse raceway,0.4630487855
inn bus,0.2748502295
rice lawn,0.2368073724
airfield runway,0.5093713677
farm excavation,0.2519957917
football baseball,0.7168076676
plaza parking,0.5183281402
bullring baseball,0.0773594487
snowfield sky,0.1139087693
alcove waiting,0.1853022759
assembly restaurant,0.0539680123
football soccer,0.8352942637
street plaza,0.5426259251
dining coffee,0.5026782505
junkyard auto,0.3051225628
supermarket pet,0.2800703904
kindergarden childs,0.3238687337
church tower,0.3589647062
toyshop amusement,0.1284737941
highway parking,0.5042240061
crosswalk bus,0.3193879478
balcony plaza,0.3680590012
zen topiary,0.1543689076
apartment fire,0.3281339332
raft wave,0.3045488399
museum shoe,0.1829835042
lawn junkyard,0.2670609964
stadium baseball,0.5253248536
highway bus,0.5241646822
nursing pizzeria,0.0640273148
closet pantry,0.658711205
bridge promenade,0.307901054
ticket loading,0.137864501
water wave,0.3531995528
pizzeria delicatessen,0.6163818119
operating veterinarians,0.1379536682
shoe gas,0.1370376189
bar dining,0.5636931018
restaurant beer,0.4445565805
church atrium,0.2204102084
street bus,0.4352785673
racecourse raceway,0.4630487855
kitchen beauty,0.3399254744
coast beach,0.6544214743
junkyard fire,0.1394894062
football baseball,0.7168076676
parking car,0.504756645
parking bus,0.5501035821
park campsite,0.5285082823
pizzeria dining,0.413907221
runway airfield,0.5093713677
airfield heliport,0.5950234939
hangar raceway,0.2505615627
railroad train,0.5974426848
hospital hotel,0.3863955773
railroad train,0.5974426848
train railroad,0.5974426848
ticket bus,0.4380884724
ticket gas,0.1835552041
chemistry bathroom,0.10356653
subway parking,0.4706392378
cemetery tree,0.3803558341
athletic soccer,0.5814432372
igloo childs,0.1969900066
motel forest,0.2352013536
coast ocean,0.6486133882
